working,http_status,curl_exit_code,link_type,url,clean_url,final_url,occurrences,first_base_product,first_suggestion_rank,first_suggestion,checked_at,error
yes,200,0,base_product_url,https://homefans.com/product/diego-armando-maradona-stadium-behind-the-scenes-matchday-experience/,https://homefans.com/product/diego-armando-maradona-stadium-behind-the-scenes-matchday-experience/,https://homefans.com/product/diego-armando-maradona-stadium-behind-the-scenes-matchday-experience/,2,Argentinos Juniors Matchday Ex…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/diego-maradona-the-ultimate-experience/,https://homefans.com/product/diego-maradona-the-ultimate-experience/,https://homefans.com/product/diego-maradona-the-ultimate-experience/,1,Buenos Aires: The Ultimate Die…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/dinamo-bucharest-matchday-experience-step-into-one-of-romanias-most-passionate-football-atmospheres/,https://homefans.com/product/dinamo-bucharest-matchday-experience-step-into-one-of-romanias-most-passionate-football-atmospheres/,https://homefans.com/product/dinamo-bucharest-matchday-experience-step-into-one-of-romanias-most-passionate-football-atmospheres/,1,The Eternal derby: Dinamo Buch…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/eintracht-frankfurt-matchday-experience-the-citys-culture-with-a-local-fan/,https://homefans.com/product/eintracht-frankfurt-matchday-experience-the-citys-culture-with-a-local-fan/,https://homefans.com/product/eintracht-frankfurt-matchday-experience-the-citys-culture-with-a-local-fan/,1,Eintracht Frankfurt Matchday -…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/el-clasico-fc-barcelona-v-real-madrid/,https://homefans.com/product/el-clasico-fc-barcelona-v-real-madrid/,https://homefans.com/product/el-clasico-fc-barcelona-v-real-madrid/,1,El Clásico: FC Barcelona v Rea…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/enjoy-an-alianza-lima-game-all-included-with-a-local-guide/,https://homefans.com/product/enjoy-an-alianza-lima-game-all-included-with-a-local-guide/,https://homefans.com/product/enjoy-an-alianza-lima-game-all-included-with-a-local-guide/,1,Enjoy an Alianza Lima game all…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/enjoy-barca-football-like-a-real-cule/,https://homefans.com/product/enjoy-barca-football-like-a-real-cule/,https://homefans.com/product/enjoy-barca-football-like-a-real-cule/,1,⚽ Enjoy a Barça game like a lo…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/estudiantes-de-la-plata-match-day-experience/,https://homefans.com/product/estudiantes-de-la-plata-match-day-experience/,https://homefans.com/product/estudiantes-de-la-plata-match-day-experience/,1,Estudiantes de La Plata VIP Ma…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/exclusive-boca-juniors-experience-premium-seats-door-to-door-transfer/,https://homefans.com/product/exclusive-boca-juniors-experience-premium-seats-door-to-door-transfer/,https://homefans.com/product/exclusive-boca-juniors-experience-premium-seats-door-to-door-transfer/,1,Exclusive Boca Juniors Experie…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/experience-a-corinthians-game-with-a-local-fan-at-arena-corinthians/,https://homefans.com/product/experience-a-corinthians-game-with-a-local-fan-at-arena-corinthians/,https://homefans.com/product/experience-a-corinthians-game-with-a-local-fan-at-arena-corinthians/,2,Experience a Corinthians game…,,,2026-04-20 America/Los_Angeles,
